t,loss,entropy,gate_open,updated
359,3.5643489360809326,3.2214198112487793,0,0
360,4.078269958496094,3.4216184616088867,1,1
361,4.363828659057617,3.478604555130005,0,0
362,3.5450775623321533,3.076587677001953,0,0
363,3.6078479290008545,3.235521078109741,1,1
364,3.5776915550231934,3.2708935737609863,1,1
365,3.4291722774505615,3.057112216949463,0,0
366,3.2809057235717773,3.131542444229126,1,1
367,3.4868836402893066,3.305325508117676,0,0
368,3.432849884033203,3.3373537063598633,0,0
369,3.6001763343811035,3.3043501377105713,0,0
370,3.4520998001098633,3.2670624256134033,0,0
371,3.1399545669555664,3.0683374404907227,1,1
372,2.6670308113098145,2.7075395584106445,0,0
373,3.262312650680542,3.0943994522094727,0,0
374,2.572857618331909,2.572972059249878,1,1
375,3.557278871536255,3.163595676422119,0,0
376,3.8057568073272705,3.419083595275879,0,0
377,4.131599426269531,3.401322603225708,0,0
378,2.875847101211548,2.604330539703369,1,1
379,3.3236336708068848,3.1200175285339355,0,0
380,3.1986136436462402,2.916198968887329,0,0
381,3.4008476734161377,3.040828227996826,0,0
382,3.203007698059082,2.94903302192688,0,0
383,2.9562976360321045,2.7870140075683594,0,0
384,3.079235553741455,2.8030459880828857,0,0
385,3.071305274963379,2.9947242736816406,1,1
386,3.4176385402679443,2.7986106872558594,1,1
387,3.708547830581665,3.1738479137420654,0,0
388,3.267805337905884,2.747020721435547,0,0
389,3.332928419113159,2.589766502380371,1,1
390,3.0704989433288574,2.5305087566375732,1,1
391,3.620051145553589,3.060866117477417,0,0
392,4.687459468841553,3.3283088207244873,1,1
393,5.269803524017334,3.416982889175415,1,1
394,2.899355173110962,2.481097936630249,1,1
395,3.5707318782806396,2.8599894046783447,1,1
396,3.483349084854126,2.811164140701294,1,1
397,3.466214895248413,2.6676712036132812,0,0
398,3.4093687534332275,2.69265079498291,0,0
399,3.183183193206787,2.765343189239502,0,0
400,3.5318098068237305,3.0993828773498535,1,1
401,3.72961688041687,3.159775495529175,0,0
402,3.5643503665924072,3.109891653060913,1,1
403,3.42665433883667,3.0992157459259033,1,1
404,3.4818756580352783,3.1617374420166016,0,0
405,3.877600908279419,3.4209702014923096,0,0
406,3.5650484561920166,3.209190607070923,0,0
407,3.6239118576049805,3.145859479904175,0,0
408,3.532977342605591,3.19191312789917,0,0
409,3.5084824562072754,3.1979823112487793,0,0
410,3.5019824504852295,3.1999001502990723,0,0
411,3.409959554672241,3.0275120735168457,0,0
412,3.1796772480010986,3.0008301734924316,0,0
413,3.295687437057495,3.0050811767578125,0,0
414,3.6971099376678467,3.213099956512451,1,1
415,3.6425650119781494,3.0997238159179688,1,1
416,3.1915040016174316,2.9808855056762695,1,1
417,3.474036693572998,3.1536660194396973,1,1
418,3.1600828170776367,2.9003653526306152,1,1
419,3.606818437576294,3.232691764831543,1,1
420,3.540431261062622,3.101799488067627,1,1
421,3.125227212905884,3.0473036766052246,0,0
422,3.2206313610076904,2.9396743774414062,1,1
423,3.472663164138794,3.0528054237365723,0,0
424,3.7436256408691406,3.0848007202148438,0,0
425,3.4771711826324463,3.181555986404419,0,0
426,3.634056329727173,3.172088146209717,0,0
427,3.4740772247314453,2.9737634658813477,0,0
428,3.5889670848846436,3.094208240509033,1,1
429,3.887115001678467,3.3555428981781006,0,0
430,3.9825167655944824,3.283923864364624,1,1
431,3.8759677410125732,3.085024356842041,0,0
432,4.010883331298828,3.2401723861694336,1,1
433,3.4241631031036377,2.939206123352051,1,1
434,3.8440074920654297,3.1806235313415527,1,1
435,3.256598472595215,2.8614349365234375,1,1
436,3.4826767444610596,3.272573947906494,1,1
437,3.200786828994751,2.927882671356201,0,0
438,3.045356273651123,2.8016512393951416,0,0
439,3.3212006092071533,2.8899102210998535,1,1
440,3.1467347145080566,2.89194393157959,0,0
441,3.234890937805176,2.95662260055542,1,1
442,3.356856107711792,2.9929769039154053,0,0
443,3.2582626342773438,3.0919687747955322,0,0
444,2.83624005317688,2.812352180480957,0,0
445,2.889129161834717,2.698674201965332,1,1
446,3.2423651218414307,3.154520034790039,1,1
447,3.9037387371063232,3.269798755645752,1,1
448,3.38334584236145,3.054603099822998,0,0
449,3.7944469451904297,3.3282253742218018,0,0
450,4.089977264404297,3.5577073097229004,1,1
451,3.628117561340332,3.3860135078430176,0,0
452,3.3985660076141357,3.00189208984375,0,0
453,3.2829253673553467,2.872304916381836,0,0
454,3.2504653930664062,2.7501211166381836,1,1
455,3.353982925415039,2.930269241333008,0,0
456,3.0914735794067383,2.8375296592712402,1,1
457,3.0064544677734375,2.775390625,0,0
458,2.8132100105285645,2.718726634979248,1,1
459,2.7638638019561768,2.5072994232177734,0,0
460,2.8809423446655273,2.628511905670166,0,0
461,3.0666141510009766,2.7710909843444824,0,0
462,3.0611870288848877,2.9415831565856934,0,0
463,2.9892489910125732,2.9495902061462402,1,1
464,3.238689661026001,2.9392714500427246,0,0
465,3.234661102294922,3.04557466506958,0,0
466,3.38873553276062,2.950003147125244,1,1
467,3.315415143966675,3.069476842880249,1,1
468,3.083791971206665,2.9807581901550293,1,1
469,3.225874423980713,2.9427309036254883,1,1
470,2.929044008255005,2.574573278427124,1,1
471,3.07696795463562,3.0088400840759277,1,1
472,3.097561836242676,2.9546737670898438,1,1
473,2.920489549636841,2.7070162296295166,1,1
474,3.2552566528320312,2.9982845783233643,1,1
475,2.9465861320495605,2.5708889961242676,0,0
476,2.844196319580078,2.693361520767212,0,0
477,3.118411064147949,2.7740859985351562,0,0
478,2.973742723464966,2.6970112323760986,0,0
479,3.006585121154785,2.820305824279785,0,0
480,2.7906594276428223,2.6142563819885254,0,0
481,3.7690229415893555,3.0416793823242188,0,0
482,4.2864885330200195,3.1805214881896973,1,1
483,3.4078874588012695,2.8969295024871826,1,1
484,3.9826509952545166,3.2147231101989746,0,0
485,3.6970653533935547,3.1379051208496094,0,0
486,3.993851900100708,3.207376480102539,1,1
487,3.7564454078674316,3.197342872619629,0,0
488,3.8211324214935303,3.2105259895324707,1,1
489,3.7898261547088623,3.055194854736328,0,0
490,4.119104862213135,3.308363437652588,0,0
491,3.885519027709961,3.1387200355529785,0,0
492,3.951955556869507,3.1305718421936035,0,0
493,3.7662270069122314,3.104283571243286,1,1
494,3.4156334400177,2.9797701835632324,1,1
495,3.2202701568603516,2.757554531097412,1,1
496,3.5920112133026123,3.018148183822632,0,0
497,3.679636240005493,3.147432327270508,1,1
498,3.5117578506469727,3.255573272705078,1,1
499,3.3065953254699707,3.1032137870788574,0,0
500,3.658341646194458,3.3331310749053955,0,0
501,3.755040168762207,3.16833758354187,1,1
502,3.5151875019073486,3.295788049697876,0,0
503,3.6941468715667725,3.1725473403930664,1,1
504,3.3940048217773438,3.038210153579712,1,1
505,3.254706621170044,3.057790756225586,1,1
506,3.6168525218963623,3.1771950721740723,0,0
507,3.4775643348693848,3.0747616291046143,0,0
508,3.370018720626831,3.0934789180755615,1,1
509,3.730961561203003,3.3505117893218994,1,1
510,3.4855945110321045,2.9878735542297363,1,1
511,4.042731285095215,3.464226007461548,1,1
512,3.7617080211639404,3.3762898445129395,0,0
513,3.3898377418518066,3.2259092330932617,1,1
514,3.56978702545166,3.3251190185546875,1,1
515,3.374333381652832,3.1258275508880615,1,1
516,3.896496057510376,3.285447597503662,0,0
517,3.879992723464966,3.3025221824645996,1,1
518,3.3946917057037354,3.1725940704345703,1,1
519,2.8653268814086914,2.723302125930786,0,0
520,2.5962560176849365,2.3632335662841797,0,0
521,2.7805471420288086,2.637051582336426,1,1
522,3.182837963104248,2.891839027404785,1,1
523,3.146085500717163,2.806523323059082,1,1
524,2.8112447261810303,2.4471042156219482,1,1
525,2.9786691665649414,2.5364441871643066,1,1
526,2.8613932132720947,2.3086020946502686,1,1
527,2.587125301361084,2.259528160095215,1,1
528,3.1193652153015137,2.621596336364746,1,1
529,3.0232980251312256,2.4765257835388184,0,0
530,3.532756805419922,2.895711660385132,1,1
531,4.00875186920166,3.3473870754241943,0,0
532,2.8704516887664795,2.3334646224975586,1,1
533,3.3686234951019287,2.872774600982666,1,1
534,3.2480409145355225,2.423288583755493,1,1
535,3.5075325965881348,2.914027214050293,0,0
536,3.598893165588379,2.9186275005340576,0,0
537,3.825831890106201,3.035641670227051,1,1
538,3.779299020767212,2.875978708267212,0,0
539,3.0857295989990234,2.8589236736297607,0,0
540,3.3711204528808594,2.7533092498779297,0,0
541,3.190960168838501,2.8354878425598145,1,1
542,3.4357452392578125,3.011622667312622,0,0
